PFAS_Name,CASRN,PFAS_Class,Chain_Length,MW,LogKow,Species,Species_Group,Trophic_Level,Is_Aquatic,Tissue,Exposure Route,Duration_days,Concentration_ng_g,log_concentration
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Indian Medaka,Fish,3,1,Multiple entries,Renewal,,97.69999999999999,1.989894563718773
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Indian Medaka,Fish,3,1,Whole organism,Renewal,,16000.0,4.204119982655925
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Indian Medaka,Fish,3,1,Whole organism,Renewal,,16000.0,4.204119982655925
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Zebra Danio,Other,2,0,Whole organism,Renewal,,1730.43942,3.2381563999200993
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Zebra Danio,Other,2,0,Whole organism,Renewal,,125.03175,2.09702030979936
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Common Carp,Fish,3,1,Blood,Renewal,,0.82,-0.08618614761628333
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Zebra Danio,Other,2,0,Whole organism,Renewal,,990.0,2.99563519459755
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Zebra Danio,Other,2,0,Whole organism,Renewal,,310.0,2.4913616938342726
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Zebra Danio,Other,2,0,Whole organism,Renewal,,160.0,2.2041199826559246
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Zebra Danio,Other,2,0,,Renewal,,50.0,1.6989700043360187
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Zebra Danio,Other,2,0,Whole organism,Static,,8000.0,3.9030899869919438
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Zebra Danio,Other,2,0,Liver,Renewal,,250.0635,2.3980503054633413
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Zebra Danio,Other,2,0,Liver,Renewal,,250.0635,2.3980503054633413
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Zebra Danio,Other,2,0,Whole organism,Renewal,,160.0,2.2041199826559246
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Zebra Danio,Other,2,0,Whole organism,Static,,8000.0,3.9030899869919438
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Zebra Danio,Other,2,0,Whole organism,Static,,8000.0,3.9030899869919438
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Zebra Danio,Other,2,0,,Renewal,,250.0,2.3979400086720375
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Zebra Danio,Other,2,0,Whole organism,Static,,8000.0,3.9030899869919438
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Zebra Danio,Other,2,0,Whole organism,Static,,8000.0,3.9030899869919438
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Zebra Danio,Other,2,0,,Renewal,,250.0,2.3979400086720375
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Zebra Danio,Other,2,0,,Renewal,,5.0,0.6989700043360189
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Zebra Danio,Other,2,0,Whole organism,Static,,2000.0,3.3010299956639813
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Zebra Danio,Other,2,0,Whole organism,"Aquatic, unspecified",,250.0,2.3979400086720375
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Rainbow Trout,Fish,3,1,Kidney,Food,,7250.0,3.8603380065709936
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Rainbow Trout,Fish,3,1,Liver,Food,,7250.0,3.8603380065709936
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Rainbow Trout,Fish,3,1,Blood,Food,,7250.0,3.8603380065709936
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Rainbow Trout,Fish,3,1,Yolk,Static,,870.0,2.9395192526186187
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Rainbow Trout,Fish,3,1,Yolk,Static,,5760.0,3.760422483423212
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Rainbow Trout,Fish,3,1,Yolk,Static,,7470.0,3.873320601815399
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Rainbow Trout,Fish,3,1,Yolk,Static,,1200.0,3.0791812460476247
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Rainbow Trout,Fish,3,1,Yolk,Static,,70.0,1.845098040014257
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Rainbow Trout,Fish,3,1,Yolk,Static,,60.0,1.7781512503836436
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Rainbow Trout,Fish,3,1,Yolk,Static,,10.0,1.0
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Rainbow Trout,Fish,3,1,Yolk,Static,,70.0,1.845098040014257
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Rainbow Trout,Fish,3,1,Yolk,Static,,7470.0,3.873320601815399
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Rainbow Trout,Fish,3,1,Yolk,Static,,870.0,2.9395192526186187
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Asian Water Plantain,Other,2,0,Root,Static,,1000.0,3.0
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Asian Water Plantain,Other,2,0,Root,Static,,1000.0,3.0
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Asian Water Plantain,Other,2,0,Root,Static,,1000.0,3.0
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Asian Water Plantain,Other,2,0,Root,Static,,1000.0,3.0
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Asian Water Plantain,Other,2,0,Multiple entries,Renewal,,1000.0,3.0
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Asian Water Plantain,Other,2,0,Multiple entries,Static,,1000.0,3.0
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Midge,Other,2,0,Whole organism,Static,,9.870000000000001,0.9943171526696368
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Midge,Other,2,0,Whole organism,Static,,9.870000000000001,0.9943171526696368
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Midge,Other,2,0,Whole organism,Static,,9.85,0.9934362304976118
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Midge,Other,2,0,Whole organism,Static,,9.85,0.9934362304976118
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Midge,Other,2,0,Whole organism,Static,,9.870000000000001,0.9943171526696368
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Midge,Other,2,0,Whole organism,Static,,9.870000000000001,0.9943171526696368
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Midge,Other,2,0,Whole organism,Static,,9.85,0.9934362304976118
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Midge,Other,2,0,Whole organism,Static,,9.85,0.9934362304976118
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Lamp-Mussel,Other,2,0,Soft tissue,Renewal,,4.52,0.6551384348113821
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Lamp-Mussel,Other,2,0,Soft tissue,Renewal,,69.5,1.841984804590114
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Green Mussel,Other,2,0,Gonad(s),Renewal,,1000.0,3.0
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Green Mussel,Other,2,0,Gill(s),Renewal,,1000.0,3.0
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Green Mussel,Other,2,0,Viscera,Renewal,,1000.0,3.0
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Green Mussel,Other,2,0,Viscera,Renewal,,100.0,2.0
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Green Mussel,Other,2,0,Gonad(s),Renewal,,100.0,2.0
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Green Mussel,Other,2,0,Gill(s),Renewal,,100.0,2.0
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Smooth Cauliflower Coral,Other,2,0,Whole organism,Renewal,,0.1,-1.0
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Smooth Cauliflower Coral,Other,2,0,Whole organism,Renewal,,0.1,-1.0
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Smooth Cauliflower Coral,Other,2,0,Whole organism,Renewal,,1.0,0.0
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Smooth Cauliflower Coral,Other,2,0,Whole organism,Renewal,,0.1,-1.0
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Smooth Cauliflower Coral,Other,2,0,Whole organism,Renewal,,1.0,0.0
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Smooth Cauliflower Coral,Other,2,0,Whole organism,Renewal,,4.0,0.6020599913279624
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Smooth Cauliflower Coral,Other,2,0,Whole organism,Renewal,,4.0,0.6020599913279624
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Smooth Cauliflower Coral,Other,2,0,Whole organism,Renewal,,0.01,-2.0
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Smooth Cauliflower Coral,Other,2,0,Whole organism,Renewal,,4.0,0.6020599913279624
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Smooth Cauliflower Coral,Other,2,0,Whole organism,Renewal,,0.01,-2.0
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Smooth Cauliflower Coral,Other,2,0,Whole organism,Renewal,,1.0,0.0
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Smooth Cauliflower Coral,Other,2,0,Whole organism,Renewal,,0.01,-2.0
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Smooth Cauliflower Coral,Other,2,0,Whole organism,Renewal,,0.1,-1.0
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Smooth Cauliflower Coral,Other,2,0,Whole organism,Renewal,,0.1,-1.0
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,"Tubificid Worm, Oligochaete",Other,2,0,Whole organism,Renewal,,567.0,2.7535830588929064
