PFAS_Name,CASRN,PFAS_Class,Chain_Length,MW,LogKow,Species,Species_Group,Trophic_Level,Is_Aquatic,is_fish,is_mammal,is_plant,is_human,PFAS_Class_encoded,Tissue,Exposure Route,Duration_days,Concentration_ng_g,log_concentration,BCF,log_BCF,Study Year
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Brown Mustard,Other,2,0,0,0,0,0,1.0,Leafneedle,Hydroponic,,10000.0,4.0,,,2023
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Brown Mustard,Other,2,0,0,0,0,0,1.0,Root,Hydroponic,,5000.0,3.6989700043360187,,,2023
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Brown Mustard,Other,2,0,0,0,0,0,1.0,Leafneedle,Hydroponic,,10000.0,4.0,,,2023
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Brown Mustard,Other,2,0,0,0,0,0,1.0,Leafneedle,Hydroponic,,5000.0,3.6989700043360187,,,2023
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Brown Mustard,Other,2,0,0,0,0,0,1.0,Root,Hydroponic,,10000.0,4.0,,,2023
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Nematode,Other,2,0,0,0,0,0,1.0,Whole organism,Culture medium,,5000.0,3.6989700043360187,,,2024
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Nematode,Other,2,0,0,0,0,0,1.0,Whole organism,Culture medium,,10000.0,4.0,,,2024
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Nematode,Other,2,0,0,0,0,0,1.0,Whole organism,Culture medium,,5000.0,3.6989700043360187,,,2024
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Nematode,Other,2,0,0,0,0,0,1.0,Whole organism,Culture medium,,2000.0,3.3010299956639813,,,2020
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Land Snail,Other,2,0,0,0,0,0,1.0,Soft tissue,Multiple routes between application groups,,1.53,0.1846914308175988,,,2021
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Land Snail,Other,2,0,0,0,0,0,1.0,Soft tissue,Multiple routes between application groups,,0.995,-0.002176919254274547,,,2021
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Land Snail,Other,2,0,0,0,0,0,1.0,Soft tissue,Multiple routes between application groups,,0.887,-0.0520763801682736,,,2021
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Land Snail,Other,2,0,0,0,0,0,1.0,Soft tissue,Multiple routes between application groups,,0.951,-0.02181948306258609,,,2021
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Japanese Quail,Other,2,0,0,0,0,0,1.0,Serum,Food,,162000.0,5.209515014542631,,,2021
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Japanese Quail,Other,2,0,0,0,0,0,1.0,Liver,Food,,162000.0,5.209515014542631,,,2021
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Japanese Quail,Other,2,0,0,0,0,0,1.0,Liver,Food,,262000.0,5.418301291319746,,,2021
